Tram,Operator,,Livery,Status,Interior,In Service,Withdrawn,Notes
B2.2057,Yarra Trams,Brunswick,PTV,In Service,Yarra Trams Refurbished,"Wed, 31st Oct 1990",,
B2.2058,Yarra Trams,Camberwell,PTV,In Service,Yarra Trams Refurbished,"Thu, 1st Nov 1990",,
B2.2059,Yarra Trams,Camberwell,PTV,In Service,Yarra Trams Refurbished,"Fri, 2nd Nov 1990",,
B2.2060,Yarra Trams,Camberwell,PTV,In Service,Yarra Trams Refurbished,"Tue, 13th Nov 1990",,
B2.2061,Yarra Trams,Camberwell,PTV,In Service,Yarra Trams Refurbished,"Fri, 16th Nov 1990",,
B2.2062,Yarra Trams,Camberwell,,In Service,Yarra Trams Refurbished,"Fri, 30th Nov 1990",,
B2.2063,Yarra Trams,Glenhuntly,PTV,In Service,Yarra Trams Refurbished,"Mon, 10th Dec 1990",,
B2.2064,Yarra Trams,Essendon,,In Service,Yarra Trams Refurbished,"Mon, 17th Dec 1990",,
B2.2065,Yarra Trams,Essendon,PTV,In Service,Yarra Trams Refurbished - Apollo Seating,"Fri, 18th Jan 1991",,
B2.2066,Yarra Trams,Camberwell,,In Service,Yarra Trams Refurbished,"Thu, 20th Dec 1990",,
B2.2067,Yarra Trams,Camberwell,PTV,In Service,Yarra Trams Refurbished,"Fri, 18th Jan 1991",,
B2.2068,Yarra Trams,Camberwell,PTV,In Service,Yarra Trams Refurbished,"Fri, 18th Jan 1991",Fitted with prototype door closing warning system since March 2021,
B2.2069,Yarra Trams,Essendon,PTV,In Service,Yarra Trams Refurbished,"Wed, 20th Mar 1991",,
B2.2070,Yarra Trams,Brunswick,PTV,In Service,Yarra Trams Refurbished,"Fri, 7th May 1993",Delivery was delayed. Used to trial improved electronics layout,
B2.2071,Yarra Trams,Camberwell,"Advertising Peters Drumstick Dulce de leche ""Saucy"" since Tuesday, 31st December 2024.",In Service,Yarra Trams Refurbished,"Fri, 3rd May 1991",,
B2.2072,Yarra Trams,Brunswick,PTV,In Service,Yarra Trams Refurbished,"Mon, 13th May 1991",,
B2.2073,Yarra Trams,Camberwell,PTV,In Service,Yarra Trams Refurbished,"Mon, 24th Jun 1991",,
B2.2074,Yarra Trams,Brunswick,PTV,In Service,M>Tram Refurbished,"Thu, 4th Jul 1991",,
B2.2075,Yarra Trams,Camberwell,PTV,In Service,Yarra Trams Refurbished,"Mon, 1st Jul 1991",,
B2.2076,Yarra Trams,Camberwell,PTV,In Service,Yarra Trams Refurbished,"Fri, 26th Jul 1991",,
B2.2077,Yarra Trams,Camberwell,PTV,In Service,Yarra Trams Refurbished,"Tue, 15th Oct 1991",,
B2.2078,Yarra Trams,Camberwell,PTV,In Service,M>Tram Refurbished,"Tue, 22nd Oct 1991",,
B2.2079,Yarra Trams,Camberwell,PTV,In Service,Yarra Trams Refurbished,"Fri, 13th Dec 1991",,
B2.2080,Yarra Trams,Brunswick,PTV,In Service,Yarra Trams Refurbished,"Wed, 13th Nov 1991",,
B2.2081,Yarra Trams,Camberwell,PTV,In Service,Yarra Trams Refurbished,"Wed, 26th Feb 1992",,
B2.2082,Yarra Trams,Essendon,PTV,In Service,Yarra Trams Refurbished,"Mon, 9th Dec 1991",,
B2.2083,Yarra Trams,Essendon,PTV,In Service,Yarra Trams Refurbished,"Wed, 11th Dec 1991",,
B2.2084,Yarra Trams,Brunswick,PTV,In Service,Yarra Trams Refurbished,"Mon, 16th Mar 1992",,
B2.2085,Yarra Trams,Glenhuntly,PTV,In Service,Yarra Trams Refurbished,"Wed, 19th Feb 1992",,
B2.2086,Yarra Trams,Glenhuntly,PTV,In Service,Yarra Trams Refurbished,"Tue, 20th Oct 1992",,
B2.2087,Yarra Trams,Camberwell,PTV,In Service,Yarra Trams Refurbished,"Fri, 7th Feb 1992",,
B2.2088,Yarra Trams,Essendon,PTV,In Service,Yarra Trams Refurbished,"Fri, 3rd Apr 1992",,
B2.2089,Yarra Trams,Glenhuntly,PTV,In Service,Yarra Trams Refurbished,"Thu, 12th Mar 1992",,
B2.2090,Yarra Trams,Essendon,PTV,In Service,Yarra Trams Refurbished,"Mon, 16th Mar 1992",,
B2.2091,Yarra Trams,Glenhuntly,PTV,In Service,M>Tram Refurbished,"Mon, 6th Apr 1992",,
B2.2092,Yarra Trams,Glenhuntly,PTV,In Service,Yarra Trams Refurbished,"Wed, 20th May 1992",,
B2.2093,Yarra Trams,Camberwell,,In Service,Yarra Trams Refurbished,"Fri, 18th Sep 1992",,
B2.2094,Yarra Trams,Glenhuntly,,In Service,Yarra Trams Refurbished,"Fri, 18th Sep 1992",,
B2.2095,Yarra Trams,Glenhuntly,PTV,In Service,Yarra Trams Refurbished,"Wed, 30th Sep 1992",,
B2.2096,Yarra Trams,Brunswick,PTV,In Service,Yarra Trams Refurbished,"Wed, 26th Aug 1992",,
