Tram,Operator,,Livery,Status,Interior,In Service,Withdrawn,Notes
D1.3523,Yarra Trams,Malvern,PTV,In Service,Original - M>Tram,"Mon, 1st Sep 2003",,
D1.3524,Yarra Trams,Malvern,PTV,In Service,Original - M>Tram,"Mon, 1st Sep 2003",,
D1.3525,Yarra Trams,Malvern,PTV,In Service,Original - M>Tram,"Mon, 1st Dec 2003",,
D1.3526,Yarra Trams,Malvern,,In Service,Original - M>Tram,"Mon, 1st Dec 2003",,
D1.3527,Yarra Trams,Malvern,,In Service,Original - M>Tram,"Mon, 1st Dec 2003",,
D1.3528,Yarra Trams,Malvern,PTV,In Service,Original - M>Tram,"Mon, 1st Dec 2003",,
D1.3529,Yarra Trams,Malvern,,In Service,Original - M>Tram,"Mon, 1st Dec 2003",,
D1.3530,Yarra Trams,Malvern,,In Service,Original - M>Tram,"Mon, 1st Dec 2003",,
D1.3531,Yarra Trams,Malvern,,In Service,Original - M>Tram,"Sun, 29th Feb 2004","To Be Tested with new resillient wheels and Bogie Design, starting 28.07.2003. First Combino to receive Yarra Trams livery. Still has M>Tram Interior.",
D1.3532,Yarra Trams,Malvern,,In Service,Original - M>Tram,"Mon, 1st Dec 2003",,
D1.3533,Yarra Trams,Malvern,,In Service,Original - M>Tram,"Mon, 1st Dec 2003",,
D1.3534,Yarra Trams,Malvern,,In Service,Original - M>Tram,"Sun, 29th Feb 2004",,
D1.3535,Yarra Trams,Malvern,PTV,In Service,Original - M>Tram,"Sun, 29th Feb 2004",Fitted with internal and external cameras to record criminal activity and illegally-passing cars. One section used in D1.3502,
D1.3536,Yarra Trams,Malvern,PTV,In Service,Original - M>Tram,"Sun, 29th Feb 2004",,
D1.3537,Yarra Trams,Malvern,,In Service,Original - M>Tram,"Sun, 29th Feb 2004",,
D1.3538,Yarra Trams,Malvern,,In Service,Original - M>Tram,"Sun, 29th Feb 2004",,
D2.5001,Yarra Trams,Brunswick,PTV,In Service,Original - M>Tram,"Thu, 4th Mar 2004","Only D2 to run in service with M>Tram Livery, First D2 in Yarra Trams and PTV liveries",
D2.5002,Yarra Trams,Brunswick,,In Service,Original - M>Tram,"Thu, 3rd Jun 2004",,
D2.5003,Yarra Trams,Brunswick,PTV,In Service,Original - M>Tram,"Wed, 2nd Jun 2004",,
D2.5004,Yarra Trams,Brunswick,PTV,In Service,Original - M>Tram,"Wed, 2nd Jun 2004",,
D2.5005,Yarra Trams,Brunswick,,In Service,Original - M>Tram,"Thu, 3rd Jun 2004",,
D2.5006,Yarra Trams,Brunswick,PTV,In Service,Original - M>Tram,"Wed, 2nd Jun 2004",,
D2.5007,Yarra Trams,Brunswick,PTV,In Service,Original - M>Tram,"Wed, 2nd Jun 2004",,
D2.5008,Yarra Trams,Brunswick,PTV,In Service,Original - M>Tram,"Thu, 2nd Sep 2004",,
D2.5009,Yarra Trams,Brunswick,PTV,In Service,Original - M>Tram,"Thu, 2nd Sep 2004",,
D2.5010,Yarra Trams,Brunswick,PTV,In Service,Original - M>Tram,"Wed, 2nd Jun 2004",,
D2.5011,Yarra Trams,Brunswick,,In Service,Original - M>Tram,"Thu, 2nd Sep 2004",,
D2.5012,Yarra Trams,Brunswick,,In Service,Original - M>Tram,"Thu, 2nd Sep 2004",,
